canonical_smiles,MW,logP,TPSA,HBD,HBA,QED,BBB_heuristic,Lipinski_pass,PAINS_count,has_charged_center,has_reactive_group,murcko_scaffold,campaigns_hit,targets_hit,n_campaigns,tier_A_hits,tier_B_hits,tier_C_hits,PAINS_penalty,composite,polypharm_bonus,anti_target_penalty,final_score
O=C1c2cccc3cccc(c23)C=C2C(O)=N[C@@H]3CCCNC[C@@H]3[C@@H]12,332.4030000000001,3.3740000000000014,61.69,2,3,0.7773746314175183,1.0,1,0,0,0,O=C1c2cccc3cccc(c23)C=C2C=NC3CCCNCC3C12,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9332123894252553,0.0,0.1,0.8332123894252553
CC1=CC[C@H](c2cccc3ccc(C(=O)O)cc23)N(CC(C)C)CC1,337.46300000000014,5.277200000000005,40.54,1,2,0.7719530631995639,0.75,0,0,0,0,C1=CCC(c2cccc3ccccc23)NCC1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.6565859189598691,0.0,0.1,0.5565859189598691
Cc1cc2nn1CC(=O)NCC(=O)[C@H]1CCc3cc(ccc3[C@H]1C)C(=O)N2C,380.44800000000015,1.8329199999999994,84.3,1,4,0.7557590445630038,1.0,1,0,0,0,O=C1Cn2ccc(n2)NC(=O)c2ccc3c(c2)CCC(C3)C(=O)CN1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9267277133689011,0.0,0.1,0.8267277133689012
Cc1[nH]c2ccccc2c1C(=O)N(CCC(=O)O)c1ccccc1,322.364,3.5978200000000022,73.4,2,2,0.7535734491331049,1.0,1,0,0,0,O=C(Nc1ccccc1)c1c[nH]c2ccccc12,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9260720347399314,0.0,0.1,0.8260720347399314
CN(Cc1ccccc1)C(=O)N=C(c1ccccc1)c1cn[nH]c1,318.38,3.499100000000002,61.35,1,2,0.7484298818966743,1.0,1,0,0,0,O=C(N=C(c1ccccc1)c1cn[nH]c1)NCc1ccccc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9245289645690022,0.0,0.1,0.8245289645690023
NC(=O)[C@H]1CCN(S(=O)(=O)c2ccc(-c3ccccc3)c3nonc23)C1,372.4060000000001,1.3856999999999997,119.39,1,6,0.7388568738204175,0.5,1,0,0,0,O=S(=O)(c1ccc(-c2ccccc2)c2nonc12)N1CCCC1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7716570621461252,0.0,0.1,0.6716570621461252
O[C@@H]1CCN2CCCCCCn3cnc4c3=CC3=C(C=CNC3=CC=4)[C@@H]2C1,364.49300000000005,1.1544000000000008,53.32,2,4,0.7253269509146835,0.75,1,0,0,0,C1=CC2=C3C=c4c(ncn4CCCCCCN4CCCCC24)=CC=C3N1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.842598085274405,0.0,0.1,0.7425980852744051
CC1=Nc2ccnc3c2NC(=C1)N1CCC[C@H](C1)c1ccccc1OCC(=O)N3,389.45900000000006,3.6514000000000015,78.85,2,6,0.7190429575848623,1.0,1,0,0,0,O=C1COc2ccccc2C2CCCN(C2)C2=CC=Nc3ccnc(c3N2)N1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9157128872754585,0.0,0.1,0.8157128872754585
CN1CCN(c2[nH+]ncnc2-c2[nH]c3ccccc3c2CO)CC1=O,339.37900000000013,0.20970000000000005,99.49000000000001,2,5,0.7105473307769988,0.5,1,1,1,0,O=C1CN(c2[nH+]ncnc2-c2cc3ccccc3[nH]2)CCN1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.2,0.7231641992330996,0.0,0.1,0.6231641992330996
CN1C2CCN(CC2)Cc2cccc(c2)Oc2ccc(cc2)OS1(=O)=O,374.46200000000016,3.0123000000000015,59.080000000000005,0,5,0.7094473155559728,1.0,1,0,0,0,O=S1(=O)NC2CCN(CC2)Cc2cccc(c2)Oc2ccc(cc2)O1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9128341946667917,0.0,0.1,0.8128341946667917
C[C@@H]1CCC[C@@H]2CCCc3nccn3-c3cc(O)cc(c3)C[C@@H]1CC2,338.4950000000002,5.289300000000006,38.05,1,2,0.708584012546062,0.75,0,0,0,0,c1cc2cc(c1)-n1ccnc1CCCC1CCCCC(CC1)C2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.6375752037638185,0.0,0.1,0.5375752037638185
O=C(O)CCN[C@@H]1C(=O)Nc2ccccc2CC=CCCOc2cccc1c2,380.4440000000002,3.3119000000000023,87.66000000000001,3,4,0.7085487230911337,1.0,1,0,0,0,O=C1Cc2cccc(c2)OCCC=CCc2ccccc2N1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.91256461692734,0.0,0.1,0.81256461692734
O=C1N(Cc2ccccc2)CCC2(C(=O)NNC2=O)N1Cc1ccc[nH]1,353.38200000000006,0.7424,97.53999999999999,3,3,0.7074426593602943,0.5,1,1,0,0,O=C1N(Cc2ccccc2)CCC2(C(=O)NNC2=O)N1Cc1ccc[nH]1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.2,0.7222327978080884,0.0,0.1,0.6222327978080884
O=C1Cc2ccc3nccc(c3n2)-c2ccccc2OCC[C@H](CO)N1,349.39000000000016,2.098899999999999,84.34,2,5,0.7027901751227693,1.0,1,0,0,0,O=C1Cc2ccc3nccc(c3n2)-c2ccccc2OCCCN1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9108370525368308,0.0,0.1,0.8108370525368308
C[C@H]1Cn2c(cc(=O)n3c4ccccc4nc23)C(=O)N1CCN1CCCCC1,379.4640000000003,1.9793999999999996,62.85,0,4,0.6981454177110725,1.0,1,0,0,0,O=C1c2cc(=O)n3c4ccccc4nc3n2CCN1CCN1CCCCC1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9094436253133218,0.0,0.1,0.8094436253133218
CC(C)OC(=O)c1c(O)c(C(=O)Nc2ccccc2)cc2ccccc12,349.3860000000001,4.362900000000002,75.63,2,4,0.6862088712623289,1.0,1,0,0,0,O=C(Nc1ccccc1)c1ccc2ccccc2c1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9058626613786986,0.0,0.1,0.8058626613786987
COc1cccc(NC(=O)c2n[nH]c(-c3ccccc3)nc2=N)c1,321.34000000000003,2.2120699999999998,103.75,3,5,0.6850392630552841,0.75,1,0,0,0,N=c1nc(-c2ccccc2)[nH]nc1C(=O)Nc1ccccc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8305117789165852,0.0,0.1,0.7305117789165853
C[C@@H]1CN(Cc2ccccc2)CC[C@H]1CNC(=O)c1[nH]ncc1-c1ccccc1,388.51500000000004,3.9647000000000023,61.02,2,3,0.6717956313025589,1.0,1,0,0,0,O=C(NCC1CCN(Cc2ccccc2)CC1)c1[nH]ncc1-c1ccccc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9015386893907675,0.0,0.1,0.8015386893907676
O=C(O)[C@H]1[C@@H]2O[C@@H](Oc3ccccc3CCC=C[C@H]1CO)[C@H](O)CC2=O,362.37800000000016,0.9220999999999997,113.29000000000002,3,6,0.6706114791988061,0.5,1,0,0,0,O=C1CCC2Oc3ccccc3CCC=CCCC1O2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7511834437596419,0.0,0.1,0.6511834437596419
N#C[C@@H](NCc1cccnc1)c1ccccc1C1=C2C=CC=C2c2ccccc21,373.45900000000006,5.204780000000004,48.71,1,3,0.6682215649866662,0.75,0,0,0,0,C1=CC2=C(c3ccccc3CNCc3cccnc3)c3ccccc3C2=C1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.6254664694959999,0.0,0.1,0.525466469496
Cc1nnc(N2C(=O)[C@H]3COc4ccccc4[C@H]3Nc3cccnc3C[C@@H]2C)s1,407.49900000000014,3.381120000000002,80.24000000000001,1,7,0.6661368982390287,1.0,1,0,0,0,O=C1C2COc3ccccc3C2Nc2cccnc2CCN1c1nncs1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8998410694717085,0.0,0.1,0.7998410694717085
CN1CCC(NC(=O)c2cc(CCc3ccc(O)nc3)nc3c2nnn3C)CC1,395.46700000000016,1.073099999999999,109.06,2,7,0.6650707303589566,0.5,1,0,0,0,O=C(NC1CCNCC1)c1cc(CCc2cccnc2)nc2[nH]nnc12,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.749521219107687,0.0,0.1,0.649521219107687
CC1=CC([C@H](C(N)=O)c2ccc(-c3ccc4ncccc4c3)cc2)C(=O)CCC1,384.47900000000027,4.786200000000004,73.05000000000001,1,3,0.6576304056437585,0.75,1,0,0,0,O=C1CCCC=CC1Cc1ccc(-c2ccc3ncccc3c2)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8222891216931274,0.0,0.1,0.7222891216931274
C[C@H]1C[C@@](C)(O)CC[C@@H]1CC1=CC=C[C@H]2CC3=C(C=C(O)Oc4ccccc43)[C@@H]12,390.5230000000001,5.9416000000000055,49.69,2,3,0.6567391308111951,0.75,0,0,0,0,C1=CC2CC3=C(C=COc4ccccc43)C2C(CC2CCCCC2)=C1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.6220217392433585,0.0,0.1,0.5220217392433585
O=C(Nc1cc(O)cc(C(=O)c2ccccc2)c1)C(=O)N1CCCCC1,352.3900000000002,2.5742000000000003,86.71,2,4,0.6565291205057475,1.0,1,0,0,0,O=C(Nc1cccc(C(=O)c2ccccc2)c1)C(=O)N1CCCCC1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8969587361517242,0.0,0.1,0.7969587361517242
O=C1CN2CCc3nc4cccc(c4cc3C2)CCCCOc2ccc(cc2)N1,387.4830000000001,3.9467000000000025,54.46000000000001,1,4,0.6346867136341927,1.0,1,0,0,0,O=C1CN2CCc3nc4cccc(c4cc3C2)CCCCOc2ccc(cc2)N1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8904060140902579,0.0,0.1,0.7904060140902579
CC(=O)N1CCN2c3nc4c5c(c6cnccc6c(n35)[C@@H]2C1)C=CC=C4,343.3900000000001,2.6457000000000006,53.74000000000001,0,4,0.6296578382800453,1.0,1,0,0,0,C1=Cc2nc3n4c(c5ccncc5c(c24)C=C1)C1CNCCN31,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8888973514840135,0.0,0.1,0.7888973514840135
O=C1N[C@]23C[C@H](O)[C@](O)(C2)[C@@H]2N=C(CCCCCc4cccc1c4)N=C2C3=O,381.432,0.9618999999999986,111.35,3,6,0.6214543586309819,0.5,1,0,0,0,O=C1NC23CCC(C2)C2N=C(CCCCCc4cccc1c4)N=C2C3=O,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7364363075892946,0.0,0.1,0.6364363075892946
O=C(O)N1CC[C@@H](c2ccccc2)[C@@](O)(Nc2ccnc3ccccc23)C1,363.41700000000014,3.5028000000000024,85.69,3,4,0.6202548896651218,1.0,1,0,0,0,c1ccc(C2CCNCC2Nc2ccnc3ccccc23)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8860764668995365,0.0,0.1,0.7860764668995365
NC(=O)C[C@H](NC(=O)[C@]1(C(N)=O)CC=C2[C@@H]1S[C@H]1CCCN21)c1ccccc1,400.50400000000013,1.0158999999999996,118.52,3,5,0.6161590569245773,0.5,1,0,0,0,O=C(NCc1ccccc1)C1CC=C2C1SC1CCCN21,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7348477170773731,0.0,0.1,0.6348477170773731
Cc1ccc2c(c1)-c1ccccc1C=NC(=O)NC(=O)Oc1ccccc1C2,370.40800000000013,4.893720000000004,67.76,1,3,0.6122953190004419,0.75,1,0,0,0,O=C1N=Cc2ccccc2-c2ccccc2Cc2ccccc2OC(=O)N1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8086885957001324,0.0,0.1,0.7086885957001324
Oc1cccc(-n2ccc3c(-c4ccccc4)ncnc32)c1,287.32200000000006,3.7931000000000026,50.94,1,3,0.6099236161066555,1.0,1,0,0,0,c1ccc(-c2ncnc3c2ccn3-c2ccccc2)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8829770848319967,0.0,0.1,0.7829770848319967
NC(=O)[C@@H]1C[C@H](OP(=O)(O)O)C[C@@H](c2cccc3ccccc23)C1O,365.32200000000006,1.6574999999999995,130.08,4,4,0.6097833347801743,0.5,1,0,0,0,c1ccc2c(C3CCCCC3)cccc2c1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7329350004340522,0.0,0.1,0.6329350004340523
Nc1nc(-c2ccccc2)c2ncn(CCCc3cccnc3)c2n1,330.395,3.1033000000000017,82.51,1,5,0.6077906760479138,1.0,1,0,0,0,c1ccc(-c2ncnc3c2ncn3CCCc2cccnc2)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8823372028143741,0.0,0.1,0.7823372028143741
O=C(Nc1ncccn1)[C@H]1Cn2cnc3ncc(-c4ccccc4)c(c32)O1,358.3610000000001,2.2880000000000003,94.82000000000001,1,6,0.6037209847685666,0.75,1,0,0,0,O=C(Nc1ncccn1)C1Cn2cnc3ncc(-c4ccccc4)c(c32)O1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8061162954305698,0.0,0.1,0.7061162954305699
C[C@@H](Cc1ccccc1)NC(=O)Cc1cc(-c2ccccc2)nc(CO)c1O,376.4560000000001,3.2364000000000015,82.45,3,4,0.591199832858489,1.0,1,0,0,0,O=C(Cc1ccnc(-c2ccccc2)c1)NCCc1ccccc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8773599498575466,0.0,0.1,0.7773599498575466
O=C(O)c1c(N2CCOCC2)nn2nc3cnn(-c4ccccc4)c3cc12,364.3650000000001,1.6029999999999993,97.78,1,6,0.5895526319818293,0.75,1,0,0,0,c1ccc(-n2ncc3nn4nc(N5CCOCC5)cc4cc32)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8018657895945487,0.0,0.1,0.7018657895945487
C[C@@H]1C=C2CN(C(=O)C=C2[N+](=O)O)C(=O)c2cccc(c2)OCCCCCC1,385.4400000000003,3.626400000000003,86.92,1,4,0.5892263845283742,1.0,1,0,1,0,O=C1C=CC2=CCCCCCCCOc3cccc(c3)C(=O)N1C2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8767679153585122,0.0,0.1,0.7767679153585122
Cc1ccc(-c2cccc3[nH]c4c[nH+]c(S(N)(=O)=O)cc4c23)cc1,338.4120000000001,2.75802,90.09,2,2,0.5882617261446856,0.75,1,0,1,0,c1ccc(-c2cccc3[nH]c4c[nH+]ccc4c23)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8014785178434056,0.0,0.1,0.7014785178434056
c1ccc(Cc2cnc(-c3ccccc3Nc3cccnc3)o2)nc1,328.37500000000006,4.466000000000003,63.84,1,5,0.5855557854984349,1.0,1,0,0,0,c1ccc(Cc2cnc(-c3ccccc3Nc3cccnc3)o2)nc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8756667356495305,0.0,0.1,0.7756667356495305
C[C@H]1CC=C2Nc3nc(c4ccccc4n3)CCC(=O)[C@@H](O)[C@@H]3C=C[C@H]1[C@@]2(C)[C@@H]3O,405.4980000000001,3.0110000000000015,95.34,3,6,0.5834156778656026,0.75,1,0,0,0,O=C1CCc2nc(nc3ccccc23)NC2=CCCC3C=CC(C1)CC23,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8000247033596808,0.0,0.1,0.7000247033596808
Cc1ccc(Nc2ncc(=O)[nH]c(=O)c2-c2ccc3ccccc3c2)cc1,355.39700000000005,4.002320000000002,74.85,2,4,0.5823641647664545,1.0,1,0,0,0,O=c1cnc(Nc2ccccc2)c(-c2ccc3ccccc3c2)c(=O)[nH]1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8747092494299362,0.0,0.1,0.7747092494299362
O=C(O)Cn1c(=O)c2ccc(-c3ccccc3)cc2c2ccccc21,329.3550000000001,3.9063000000000025,59.3,1,2,0.5798514961373562,1.0,1,0,0,0,O=c1[nH]c2ccccc2c2cc(-c3ccccc3)ccc12,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8739554488412069,0.0,0.1,0.7739554488412069
O=C(NCc1cccnc1)NCc1ccccc1OCc1cccc2c1NCC2,388.47100000000023,3.628000000000002,75.28,3,4,0.5777963071689041,1.0,1,0,0,0,O=C(NCc1cccnc1)NCc1ccccc1OCc1cccc2c1NCC2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8733388921506713,0.0,0.1,0.7733388921506713
O[C@H]1NCc2ccccc2C2=CC=C3N=CNC(=C3C=C2)Nc2cccc1c2,368.44000000000005,3.5730000000000013,68.67999999999999,4,5,0.5738549907234566,0.75,1,0,0,0,C1=CC2=C3NC=NC2=CC=C1c1ccccc1CNCc1cccc(c1)N3,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7971564972170369,0.0,0.1,0.6971564972170369
Nc1onc2c1c(=O)ncn2[C@H]1CC(=O)[C@@H](COP(=O)(O)O)O1,346.19200000000006,-1.0674000000000003,179.99999999999997,3,9,0.5735146816363412,0.5,1,0,0,0,O=C1COC(n2cnc(=O)c3conc32)C1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7220544044909023,0.0,0.1,0.6220544044909023
COc1ccc(CCC[C@@H](CO)Nc2ncccc3nnc(N)c2-3)cc1,353.42600000000016,2.3629,106.18,3,7,0.5705847446079249,0.75,1,0,0,0,c1ccc(CCCCNc2ncccc3nncc2-3)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7961754233823775,0.0,0.1,0.6961754233823775
Nc1cccc(C(=O)Nc2ccccc2OCC(=O)Nc2ccccc2F)c1,379.3910000000001,3.6777000000000015,93.45000000000002,3,4,0.5697451505867612,0.75,1,0,0,0,O=C(COc1ccccc1NC(=O)c1ccccc1)Nc1ccccc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7959235451760283,0.0,0.1,0.6959235451760283
c1ccc(Oc2ccccc2-c2cccc(Cc3nnc[nH]3)c2)cc1,327.38699999999994,4.854800000000004,50.800000000000004,1,3,0.5696032168850523,0.75,1,0,0,0,c1ccc(Oc2ccccc2-c2cccc(Cc3nnc[nH]3)c2)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7958809650655156,0.0,0.1,0.6958809650655157
Cc1ccc2c(c1)-c1c(C)nc3ncn([C@@H]4CCCCNC4=O)c3c1C2=O,360.41700000000014,3.100740000000001,76.88,1,4,0.5658025190666824,1.0,1,0,0,0,O=C1c2ccccc2-c2cnc3ncn(C4CCCCNC4=O)c3c21,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8697407557200048,0.0,0.1,0.7697407557200048
c1ccc(C(C2=Nc3ncnc4ccnc2c34)c2ccccc2)cc1,322.37100000000004,4.291100000000003,51.03,0,4,0.5651486517191973,1.0,1,0,0,0,c1ccc(C(C2=Nc3ncnc4ccnc2c34)c2ccccc2)cc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8695445955157592,0.0,0.1,0.7695445955157593
COc1cc(-c2ccccc2)c(-c2ccccc2)cc1Cn1nc(N)[nH]c1=O,372.42800000000017,3.544500000000002,85.93,2,4,0.5609658951649306,1.0,1,0,0,0,O=c1[nH]cnn1Cc1ccc(-c2ccccc2)c(-c2ccccc2)c1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.868289768549479,0.0,0.1,0.7682897685494791
Cc1c2n(c3ccccc13)CCC[C@@H]2[C@H](Nc1nc2ccccc2n1C)C(N)=O,387.4870000000001,3.6798200000000003,77.87,2,3,0.5606810157128925,1.0,1,0,0,0,c1ccc2c(c1)cc1n2CCCC1CNc1nc2ccccc2[nH]1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8682043047138677,0.0,0.1,0.7682043047138677
NC(=O)c1ccc(-c2nccc3ccccc23)cc1N=Cc1ccncc1,352.39700000000005,4.146300000000002,81.23,1,4,0.5603250260672387,1.0,1,0,0,0,C(=Nc1cccc(-c2nccc3ccccc23)c1)c1ccncc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8680975078201716,0.0,0.1,0.7680975078201716
Cc1nnc(-c2ccc3ccccc3c2)n1C[C@H](N)C(=O)Nc1cccs1,377.47300000000007,3.4342200000000007,85.83000000000001,2,5,0.5578403198851176,1.0,1,0,0,0,O=C(CCn1cnnc1-c1ccc2ccccc2c1)Nc1cccs1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8673520959655352,0.0,0.1,0.7673520959655352
O=C1NC(=O)N(Cc2ccccc2)C1=Cc1ccccc1-c1ccccc1,354.4090000000001,4.446500000000003,49.410000000000004,1,2,0.5559152821228875,1.0,1,0,0,0,O=C1NC(=O)N(Cc2ccccc2)C1=Cc1ccccc1-c1ccccc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.8667745846368662,0.0,0.1,0.7667745846368662
O=C1Nc2ccc(O)c(c2)OCCCCOc2ccccc2-c2cccc1c2,375.42400000000004,4.862900000000003,67.79,2,4,0.5506183851204531,0.75,1,0,0,0,O=C1Nc2cccc(c2)OCCCCOc2ccccc2-c2cccc1c2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.7901855155361359,0.0,0.1,0.6901855155361359
C[C@@H]1OC2=C[C@H]3CC[C@H](O)C=C3C3C4=CC(=O)CC(C)(C)C[C@@H]4[C@@](O)(O1)[C@@]23O,388.46000000000015,1.9552000000000005,96.22000000000001,3,6,0.5491824221403765,0.75,1,0,0,0,O=C1C=C2C(CCC1)C1OCOC3=CC4CCCC=C4C2C31,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.789754726642113,0.0,0.1,0.689754726642113
